measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,160,Afghanistan,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.4143403083,0.7289237766,0.1005540222
1,Deaths,160,Afghanistan,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.4425248351,0.7795036207,0.182072409
1,Deaths,160,Afghanistan,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.4281926323,0.6969162428,0.1622604288
1,Deaths,160,Afghanistan,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.3899799567,0.6891523597,0.105731925
1,Deaths,160,Afghanistan,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.4190624388,0.7337506217,0.1815186925
1,Deaths,160,Afghanistan,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.4042762365,0.652491097,0.1589433219
1,Deaths,160,Afghanistan,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1991,0.4136412508,0.7348937099,0.1067027645
1,Deaths,160,Afghanistan,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1991,0.4416974981,0.7786943163,0.1861542446
1,Deaths,160,Afghanistan,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1991,0.4274358725,0.6923347139,0.1624224819
1,Deaths,160,Afghanistan,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1995,0.3940488289,0.6912013212,0.1068805832
1,Deaths,160,Afghanistan,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1995,0.4201509219,0.7505358232,0.1846173306
1,Deaths,160,Afghanistan,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1995,0.4068682503,0.6456026305,0.1661482656
1,Deaths,160,Afghanistan,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1994,0.3899159705,0.6849127652,0.1038497852
1,Deaths,160,Afghanistan,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1994,0.4160346792,0.7346353491,0.181368177
1,Deaths,160,Afghanistan,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1994,0.4027415846,0.6425744289,0.1596650228
